City,Month,Max Temp,Min Temp,Rainfall,Humidity,PH
Dhaka,1,25.4,12.7,7.7,46,5
Dhaka,2,28.1,15.5,28.9,37,5
Dhaka,3,32.5,20.4,65.8,38,5
Dhaka,4,33.7,23.6,156.3,42,5
Dhaka,5,32.9,24.5,339.4,59,5
Dhaka,6,32.1,26.1,340.4,72,5
Dhaka,7,31.4,26.2,373.1,72,5
Dhaka,8,31.6,26.3,316.5,74,5
Dhaka,9,31.6,25.9,300.4,71,5
Dhaka,10,31.6,23.8,172.3,65,5
Dhaka,11,29.6,19.2,34.4,53,5
Dhaka,12,26.4,14.1,12.8,50,5
Chittagong,1,26,13.9,5.6,73,5
Chittagong,2,28,16.2,24.4,70,5
Chittagong,3,30.6,20.3,54.7,74,5
Chittagong,4,31.8,23.4,147.4,77,5
Chittagong,5,32.3,24.7,298.6,79,5
Chittagong,6,31.5,25.2,607.3,83,5
Chittagong,7,30.9,25.1,727,85,5
Chittagong,8,31.1,25.1,530.6,85,5
Chittagong,9,31.6,25.1,259.3,83,5
Chittagong,10,31.5,24,184.8,81,5
Chittagong,11,29.8,20.3,67.5,78,5
Chittagong,12,27,15.6,11.9,75,5
Khulna,1,26.6,12.4,13.3,78,6.9
Khulna,2,28.5,15.4,44.4,74,6.9
Khulna,3,33.1,20.5,52.1,73,6.9
Khulna,4,34.6,23.9,87.5,76,6.9
Khulna,5,34.3,25.2,200,79,6.9
Khulna,6,32.9,26.1,335.6,85,6.9
Khulna,7,31.8,26,329.8,87,6.9
Khulna,8,31.8,26.2,323.5,86,6.9
Khulna,9,32.1,25.8,254.7,87,6.9
Khulna,10,32.1,24.1,129.8,84,6.9
Khulna,11,29.9,19.6,32.1,80,6.9
Khulna,12,26.5,13.9,6.6,79,6.9
Sylhet,1,25.2,12.9,8,74,5
Sylhet,2,27.1,14.2,31,66,5
Sylhet,3,30.4,18.1,146,62,5
Sylhet,4,30.8,20.8,372,73,5
Sylhet,5,30.8,22.6,569,80,5
Sylhet,6,30.9,24.4,796,85,5
Sylhet,7,30.9,24.9,834,84,5
Sylhet,8,31.6,25,621,85,5
Sylhet,9,31.2,24.3,548,85,5
Sylhet,10,30.9,22.5,232,80,5
Sylhet,11,29.2,18.4,30,76,5
Sylhet,12,26.3,14,13,78,5
Barisal,1,25.6,11.9,8,69,6.9
Barisal,2,28.2,14.9,27,58,6.9
Barisal,3,32.2,20.2,56,55,6.9
Barisal,4,33.3,23.6,128,65,6.9
Barisal,5,33,24.7,230,73,6.9
Barisal,6,31.7,25.6,409,79,6.9
Barisal,7,30.9,25.5,408,80,6.9
Barisal,8,30.9,25.5,370,80,6.9
Barisal,9,31.5,25.3,258,79,6.9
Barisal,10,31.5,23.6,162,74,6.9
Barisal,11,29.6,18.8,53,68,6.9
Barisal,12,26.5,13.3,15,71,6.9
Mymensingh,1,24,11,12,42,5
Mymensingh,2,27.7,13.8,17,36,5
Mymensingh,3,31.8,18.4,46,32,5
Mymensingh,4,33.4,22.3,110,46,5
Mymensingh,5,32.1,23.7,286,61,5
Mymensingh,6,31,25,469,75,5
Mymensingh,7,31.2,25.8,401,74,5
Mymensingh,8,31.2,25.8,398,75,5
Mymensingh,9,31.1,25.5,311,72,5
Mymensingh,10,30.8,23.6,179,68,5
Mymensingh,11,28.7,18.2,18,55,5
Mymensingh,12,25.8,13.5,2,46,5
Rajshahi,1,25.4,10.2,13,40,6.5
Rajshahi,2,28,13.3,15,35,6.5
Rajshahi,3,33.5,18,27,37,6.5
Rajshahi,4,35.9,21.7,39,40,6.5
Rajshahi,5,34.8,23.5,129,51,6.5
Rajshahi,6,33.3,25.5,272,79,6.5
Rajshahi,7,32,25.9,301,88,6.5
Rajshahi,8,32,26.2,261,85,6.5
Rajshahi,9,32.3,25.9,234,80,6.5
Rajshahi,10,31.9,23.4,112,66,6.5
Rajshahi,11,29.5,17.6,14,62,6.5
Rajshahi,12,26.1,12.8,2,59,6.5
Joypurhat,1,24.8,11.2,10,77,5.5
Joypurhat,2,27.6,12.9,15,67,5.5
Joypurhat,3,32.5,17.3,21,62,5.5
Joypurhat,4,35,21.9,52,70,5.5
Joypurhat,5,33.6,23.8,186,75,5.5
Joypurhat,6,32.4,25.4,330,81,5.5
Joypurhat,7,31.7,26.1,364,82,5.5
Joypurhat,8,31.6,26.2,321,83,5.5
Joypurhat,9,31.7,25.6,283,84,5.5
Joypurhat,10,31.1,22.9,140,80,5.5
Joypurhat,11,28.7,17,13,74,5.5
Joypurhat,12,25.9,12.6,3,78,5.5
Dinajpur,1,22,12,82,7.2,5.5
Dinajpur,2,26,15,17,72,5.5
Dinajpur,3,31,19,7.5,65,5.5
Dinajpur,4,32,22,93.4,73,5.5
Dinajpur,5,32,24,225.4,78,5.5
Dinajpur,6,32,26,456.7,83,5.5
Dinajpur,7,33,27,264.9,82,5.5
