Crop,Day,Month
Aus,15,3
Aus,15,4
Aman,25,6
Aman,0,7
Aman,0,8
Aman,5,9
Boro,15,11
Boro,0,12
Boro,15,1
Wheat,0,11
Wheat,0,12
Maize,15,10
Maize,0,11
Maize,20,12
Jowar,15,4
Jowar,0,5
Jowar,0,6
Barley,15,10
Barley,0,11
Barley,15,12
Potato,15,9
Potato,0,10
Potato,0,11
Sweet potato,15,9
Sweet potato,0,10
Sweet potato,0,11
Sweet potato,15,12
Jute,1,3
Jute,15,4
Sannhamp,15,3
Sannhamp,0,4
Sannhamp,0,5
Sannhamp,15,6
Cotton,15,8
Cotton,0,9
Cotton,15,10
Groundnut,15,6
Groundnut,15,7
Linseed,15,10
Linseed,0,11
Linseed,15,12
Sunflower,15,11
Sunflower,15,12
Blackgram,15,8
Blackgram,15,9
Soyabean,0,6
Soyabean,0,7
Lentil,15,10
Lentil,15,11
Khesari,15,10
Khesari,0,11
Khesari,15,12
Ginger,15,3
Ginger,0,4
Ginger,15,5
Turmeric,15,4
Turmeric,0,5
Turmeric,15,6
Onion,0,10
Onion,0,11
Onion,5,12
Coriander,0,10
Coriander,0,11
Coriander,0,12
Chillies,15,11
Chillies,0,12
Chillies,15,1
Sugarcane,15,10
Sugarcane,0,11
Sugarcane,15,12
Sugarcane,15,1
Sugarcane,0,2
Sugarcane,15,3
Cauliflower,20,10
Cauliflower,15,11
Cabbage,20,10
Cabbage,15,11
Tomato,15,8
Tomato,0,11
Tomato,0,9
Tomato,0,10
Raddish,15,8
Raddish,0,9
Raddish,10,10
Carrot,0,11
Carrot,15,12
Brinjal,0,10
Brinjal,15,11
Bean,20,6
Bean,0,7
Bean,0,8
Bean,5,9
Lady Finger,15,4
Lady Finger,0,5
Lady Finger,15,6
Banana,15,1
Banana,0,2
Banana,15,3
Papaya,15,6
Papaya,0,7
Papaya,15,8
